zip,lat,lng,city,state_id,state_name,population,density,county_fips,county_name,timezone
47374,39.83376,-84.88997,Richmond,IN,Indiana,45480,146.6,18177,Wayne,America/Indiana/Indianapolis
47401,39.08613,-86.45138,Bloomington,IN,Indiana,40399,188.8,18105,Monroe,America/Indiana/Indianapolis
83301,42.39472,-114.52203,Twin Falls,ID,Idaho,61291,80.0,16083,Twin Falls,America/Boise
83501,46.2283,-116.90608,Lewiston,ID,Idaho,37136,58.7,16069,Nez Perce,America/Los_Angeles
83605,43.66442,-116.65171,Caldwell,ID,Idaho,39636,621.4,16027,Canyon,America/Boise
83642,43.57334,-116.40116,Meridian,ID,Idaho,54645,508.7,16001,Ada,America/Boise
83704,43.62765,-116.28716,Boise,ID,Idaho,40520,1787.7,16001,Ada,America/Boise
84020,40.49885,-111.8635,Draper,UT,Utah,50635,719.7,49035,Salt Lake,America/Denver
84041,41.07137,-111.98416,Layton,UT,Utah,55009,1422.6,49011,Davis,America/Denver
84043,40.41209,-111.87377,Lehi,UT,Utah,77551,961.6,49049,Utah,America/Denver
84057,40.31427,-111.70948,Orem,UT,Utah,38222,2395.5,49049,Utah,America/Denver
84062,40.38586,-111.68421,Pleasant Grove,UT,Utah,47430,361.2,49049,Utah,America/Denver
84084,40.62139,-111.96603,West Jordan,UT,Utah,31933,1857.0,49035,Salt Lake,America/Denver
84106,40.70678,-111.85571,Salt Lake City,UT,Utah,34704,2219.1,49035,Salt Lake,America/Denver
84107,40.65799,-111.88447,Salt Lake City,UT,Utah,36697,1879.1,49035,Salt Lake,America/Denver
60025,42.07466,-87.81204,Glenview,IL,Illinois,40858,1503.8,17031,Cook,America/Chicago
60035,42.18358,-87.8106,Highland Park,IL,Illinois,30215,921.0,17097,Lake,America/Chicago
60067,42.10773,-88.06478,Palatine,IL,Illinois,38380,1138.9,17031,Cook,America/Chicago
60068,42.01276,-87.84435,Park Ridge,IL,Illinois,39332,2077.1,17031,Cook,America/Chicago
60076,42.03412,-87.72943,Skokie,IL,Illinois,33170,2494.0,17031,Cook,America/Chicago
60089,42.16736,-87.96076,Buffalo Grove,IL,Illinois,42867,1681.2,17097,Lake,America/Chicago
60090,42.13031,-87.92268,Wheeling,IL,Illinois,38753,1665.6,17031,Cook,America/Chicago
60098,42.32468,-88.45672,Woodstock,IL,Illinois,33116,122.0,17111,McHenry,America/Chicago
60126,41.89627,-87.94194,Elmhurst,IL,Illinois,48032,1655.0,17043,DuPage,America/Chicago
60174,41.92759,-88.29906,Saint Charles,IL,Illinois,30799,866.7,17089,Kane,America/Chicago
60188,41.91562,-88.12958,Carol Stream,IL,Illinois,42219,1621.9,17043,DuPage,America/Chicago
60201,42.05665,-87.69827,Evanston,IL,Illinois,43122,3690.7,17031,Cook,America/Chicago
60302,41.8948,-87.78983,Oak Park,IL,Illinois,33063,4319.4,17031,Cook,America/Chicago
60423,41.47922,-87.83961,Frankfort,IL,Illinois,32596,332.3,17197,Will,America/Chicago
60440,41.70125,-88.07572,Bolingbrook,IL,Illinois,51412,1316.3,17197,Will,America/Chicago
60441,41.59238,-88.05106,Lockport,IL,Illinois,37046,508.2,17197,Will,America/Chicago
60462,41.62527,-87.83548,Orland Park,IL,Illinois,40942,989.3,17031,Cook,America/Chicago
60477,41.57347,-87.78597,Tinley Park,IL,Illinois,36543,992.2,17031,Cook,America/Chicago
60505,41.76527,-88.29576,Aurora,IL,Illinois,59466,2264.1,17089,Kane,America/Chicago
60540,41.76361,-88.14476,Naperville,IL,Illinois,42756,1248.8,17043,DuPage,America/Chicago
60543,41.66537,-88.32442,Oswego,IL,Illinois,40714,374.8,17093,Kendall,America/Chicago
60610,41.90388,-87.63738,Chicago,IL,Illinois,42904,14893.0,17031,Cook,America/Chicago
60623,41.84793,-87.71753,Chicago,IL,Illinois,76611,5501.4,17031,Cook,America/Chicago
60653,41.81924,-87.61017,Chicago,IL,Illinois,34364,5623.1,17031,Cook,America/Chicago
50701,42.4171,-92.34448,Waterloo,IA,Iowa,30128,147.0,19013,Black Hawk,America/Chicago
78207,29.42223,-98.52545,San Antonio,TX,Texas,51381,2717.4,48029,Bexar,America/Chicago
78415,27.65437,-97.48712,Corpus Christi,TX,Texas,42831,151.5,48355,Nueces,America/Chicago
78501,26.21599,-98.2391,Mcallen,TX,Texas,59954,1489.6,48215,Hidalgo,America/Chicago
78521,25.95109,-97.32078,Brownsville,TX,Texas,87040,358.5,48061,Cameron,America/Chicago
78539,26.28,-98.18311,Edinburg,TX,Texas,37182,1172.9,48215,Hidalgo,America/Chicago
78550,26.25469,-97.66406,Harlingen,TX,Texas,54441,223.2,48061,Cameron,America/Chicago
78577,26.1665,-98.19082,Pharr,TX,Texas,79496,1180.5,48215,Hidalgo,America/Chicago
78664,30.50461,-97.64583,Round Rock,TX,Texas,62168,1444.9,48491,Williamson,America/Chicago
78666,29.8826,-97.97974,San Marcos,TX,Texas,86530,173.7,48209,Hays,America/Chicago
78745,30.20743,-97.79822,Austin,TX,Texas,61322,1723.6,48453,Travis,America/Chicago
95610,38.69494,-121.27219,Citrus Heights,CA,California,46219,2250.8,06067,Sacramento,America/Los_Angeles
95616,38.55819,-121.80044,Davis,CA,California,52090,673.7,06113,Yolo,America/Los_Angeles
95661,38.74129,-121.24925,Roseville,CA,California,32827,1415.5,06061,Placer,America/Los_Angeles
95687,38.3344,-121.91765,Vacaville,CA,California,68996,597.9,06095,Solano,America/Los_Angeles
95695,38.68847,-121.85666,Woodland,CA,California,39892,105.8,06113,Yolo,America/Los_Angeles
95823,38.47473,-121.44266,Sacramento,CA,California,82983,2791.2,06067,Sacramento,America/Los_Angeles
95928,39.68317,-121.83528,Chico,CA,California,38412,102.0,06007,Butte,America/Los_Angeles
96003,40.66664,-122.31564,Redding,CA,California,43945,152.6,06089,Shasta,America/Los_Angeles
84321,41.77938,-111.68316,Logan,UT,Utah,49434,86.7,49005,Cache,America/Denver
84604,40.3313,-111.57284,Provo,UT,Utah,44575,181.5,49049,Utah,America/Denver
85023,33.63156,-112.09452,Phoenix,AZ,Arizona,33097,1723.8,04013,Maricopa,America/Phoenix
85204,33.39666,-111.78786,Mesa,AZ,Arizona,66851,2605.0,04013,Maricopa,America/Phoenix
85224,33.32351,-111.87616,Chandler,AZ,Arizona,49159,2013.6,04013,Maricopa,America/Phoenix
85234,33.36479,-111.73924,Gilbert,AZ,Arizona,49466,1599.1,04013,Maricopa,America/Phoenix
85254,33.61474,-111.95176,Scottsdale,AZ,Arizona,45207,1272.4,04013,Maricopa,America/Phoenix
85281,33.42805,-111.93157,Tempe,AZ,Arizona,68623,1994.6,04013,Maricopa,America/Phoenix
85301,33.53219,-112.17817,Glendale,AZ,Arizona,67781,2810.3,04013,Maricopa,America/Phoenix
85323,33.41888,-112.32615,Avondale,AZ,Arizona,45288,985.7,04013,Maricopa,America/Phoenix
85345,33.57215,-112.24838,Peoria,AZ,Arizona,61801,1880.5,04013,Maricopa,America/Phoenix
85364,32.70469,-114.65664,Yuma,AZ,Arizona,71910,723.4,04027,Yuma,America/Phoenix
52001,42.54819,-90.69348,Dubuque,IA,Iowa,42895,634.0,19061,Dubuque,America/Chicago
52240,41.63143,-91.49924,Iowa City,IA,Iowa,36475,99.1,19103,Johnson,America/Chicago
52302,42.0656,-91.57091,Marion,IA,Iowa,42803,222.3,19113,Linn,America/Chicago
56560,46.83637,-96.73467,Moorhead,MN,Minnesota,43860,107.6,27027,Clay,America/Chicago
57103,43.538,-96.69241,Sioux Falls,SD,South Dakota,35785,1459.7,46099,Minnehaha,America/Chicago
18103,40.57223,-75.48138,Allentown,PA,Pennsylvania,48344,1087.9,42077,Lehigh,America/New_York
19013,39.84529,-75.37474,Chester,PA,Pennsylvania,34456,2356.3,42045,Delaware,America/New_York
61032,42.31509,-89.63598,Freeport,IL,Illinois,29359,76.2,17177,Stephenson,America/Chicago
61107,42.28344,-89.00348,Rockford,IL,Illinois,29386,760.5,17201,Winnebago,America/Chicago
61604,40.70525,-89.65297,Peoria,IL,Illinois,28220,717.1,17143,Peoria,America/Chicago
61701,40.47697,-88.99278,Bloomington,IL,Illinois,35480,1242.3,17113,McLean,America/Chicago
97030,45.50896,-122.43135,Gresham,OR,Oregon,38947,2007.2,41051,Multnomah,America/Los_Angeles
97123,45.44353,-122.98048,Hillsboro,OR,Oregon,48218,334.4,41067,Washington,America/Los_Angeles
27217,36.19221,-79.38404,Burlington,NC,North Carolina,40036,125.5,37001,Alamance,America/New_York
64118,39.21301,-94.57497,Kansas City,MO,Missouri,42897,1296.4,29047,Clay,America/Chicago
54302,44.50663,-87.97668,Green Bay,WI,Wisconsin,31428,1315.3,55009,Brown,America/Chicago
54401,44.96647,-89.70794,Wausau,WI,Wisconsin,31292,143.5,55073,Marathon,America/Chicago
54601,43.80199,-91.14559,La Crosse,WI,Wisconsin,51116,261.6,55063,La Crosse,America/Chicago
54703,44.83311,-91.5185,Eau Claire,WI,Wisconsin,43618,207.7,55035,Eau Claire,America/Chicago
54880,46.59342,-92.12701,Superior,WI,Wisconsin,30219,70.2,55031,Douglas,America/Chicago
54915,44.24279,-88.35928,Appleton,WI,Wisconsin,43815,1124.7,55015,Calumet,America/Chicago
90004,34.07624,-118.31101,Los Angeles,CA,California,58833,7445.8,06037,Los Angeles,America/Los_Angeles
90008,34.01037,-118.3428,Los Angeles,CA,California,33076,4413.8,06037,Los Angeles,America/Los_Angeles
90032,34.0793,-118.17835,Los Angeles,CA,California,44881,3598.9,06037,Los Angeles,America/Los_Angeles
90036,34.07013,-118.34978,Los Angeles,CA,California,37713,5929.4,06037,Los Angeles,America/Los_Angeles
90045,33.95302,-118.40028,Los Angeles,CA,California,41123,1475.7,06037,Los Angeles,America/Los_Angeles
90049,34.08749,-118.48976,Los Angeles,CA,California,35819,923.7,06037,Los Angeles,America/Los_Angeles
90278,33.87362,-118.37028,Redondo Beach,CA,California,42536,4473.8,06037,Los Angeles,America/Los_Angeles
90301,33.95647,-118.35863,Inglewood,CA,California,37341,5810.5,06037,Los Angeles,America/Los_Angeles
90503,33.84089,-118.3538,Torrance,CA,California,44280,3246.1,06037,Los Angeles,America/Los_Angeles
90604,33.93012,-118.01226,Whittier,CA,California,39795,3650.6,06037,Los Angeles,America/Los_Angeles
90640,34.01506,-118.111,Montebello,CA,California,62294,2890.0,06037,Los Angeles,America/Los_Angeles
90660,33.98868,-118.09111,Pico Rivera,CA,California,61561,3066.7,06037,Los Angeles,America/Los_Angeles
90712,33.849,-118.14677,Lakewood,CA,California,31552,2889.4,06037,Los Angeles,America/Los_Angeles
90805,33.86494,-118.18051,Long Beach,CA,California,96515,5023.0,06037,Los Angeles,America/Los_Angeles
91104,34.16766,-118.12341,Pasadena,CA,California,35918,3677.8,06037,Los Angeles,America/Los_Angeles
52402,42.02272,-91.66001,Cedar Rapids,IA,Iowa,42648,1203.1,19113,Linn,America/Chicago
52601,40.8551,-91.111,Burlington,IA,Iowa,27592,97.4,19057,Des Moines,America/Chicago
79109,35.1665,-101.88633,Amarillo,TX,Texas,42659,1597.2,48381,Randall,America/Chicago
79424,33.46865,-101.93881,Lubbock,TX,Texas,50448,468.2,48303,Lubbock,America/Chicago
79605,32.43394,-99.78182,Abilene,TX,Texas,28989,1019.2,48441,Taylor,America/Chicago
79762,31.92573,-102.35502,Odessa,TX,Texas,39649,502.6,48135,Ector,America/Chicago
28314,35.0557,-79.01678,Fayetteville,NC,North Carolina,57908,1153.5,37051,Cumberland,America/New_York
19120,40.03417,-75.11986,Philadelphia,PA,Pennsylvania,71360,8519.2,42101,Philadelphia,America/New_York
19134,39.98953,-75.10838,Philadelphia,PA,Pennsylvania,60229,6748.2,42101,Philadelphia,America/New_York
19140,40.01224,-75.14512,Philadelphia,PA,Pennsylvania,53996,6613.6,42101,Philadelphia,America/New_York
19143,39.94315,-75.22664,Philadelphia,PA,Pennsylvania,63186,7830.3,42101,Philadelphia,America/New_York
19601,40.3526,-75.9408,Reading,PA,Pennsylvania,36003,3695.2,42011,Berks,America/New_York
19711,39.71379,-75.74033,Newark,DE,Delaware,49746,700.8,10003,New Castle,America/New_York
19805,39.74523,-75.59373,Wilmington,DE,Delaware,39610,2771.6,10003,New Castle,America/New_York
19901,39.17335,-75.47758,Dover,DE,Delaware,39097,199.1,10001,Kent,America/New_York
20016,38.93822,-77.09139,Washington,DC,District of Columbia,32570,2837.8,11001,District of Columbia,America/New_York
20707,39.09563,-76.8842,Laurel,MD,Maryland,36352,1109.6,24033,Prince George's,America/New_York
20735,38.75034,-76.90566,Clinton,MD,Maryland,39399,586.8,24033,Prince George's,America/New_York
20852,39.05134,-77.12507,Rockville,MD,Maryland,48379,2313.4,24031,Montgomery,America/New_York
20877,39.14068,-77.18865,Gaithersburg,MD,Maryland,38524,2636.9,24031,Montgomery,America/New_York
21044,39.21047,-76.88353,Columbia,MD,Maryland,45100,1464.9,24027,Howard,America/New_York
91360,34.21475,-118.87735,Thousand Oaks,CA,California,42444,1066.7,06111,Ventura,America/Los_Angeles
91505,34.17583,-118.34692,Burbank,CA,California,32156,2319.1,06037,Los Angeles,America/Los_Angeles
91730,34.10023,-117.5811,Rancho Cucamonga,CA,California,71040,1997.8,06071,San Bernardino,America/Los_Angeles
91761,34.03541,-117.5915,Ontario,CA,California,61837,838.0,06071,San Bernardino,America/Los_Angeles
91767,34.08143,-117.73868,Pomona,CA,California,50715,3444.5,06037,Los Angeles,America/Los_Angeles
91776,34.08987,-118.09519,San Gabriel,CA,California,37340,4315.4,06037,Los Angeles,America/Los_Angeles
91911,32.60686,-117.04984,Chula Vista,CA,California,87799,2663.4,06073,San Diego,America/Los_Angeles
91941,32.75964,-116.99253,La Mesa,CA,California,33602,1577.7,06073,San Diego,America/Los_Angeles
98502,47.08466,-123.02958,Olympia,WA,Washington,35551,216.4,53067,Thurston,America/Los_Angeles
98632,46.21223,-123.06855,Longview,WA,Washington,50837,161.7,53015,Cowlitz,America/Los_Angeles
98661,45.63935,-122.62586,Vancouver,WA,Washington,49910,1767.8,53011,Clark,America/Los_Angeles
99207,47.68941,-117.38911,Spokane,WA,Washington,32219,2394.2,53063,Spokane,America/Los_Angeles
63116,38.57999,-90.26501,Saint Louis,MO,Missouri,41821,2989.6,29510,St. Louis,America/Chicago
63122,38.57853,-90.42133,Saint Louis,MO,Missouri,41416,1104.2,29189,St. Louis,America/Chicago
63301,38.86159,-90.47207,Saint Charles,MO,Missouri,51401,235.3,29183,St. Charles,America/Chicago
65109,38.57365,-92.27791,Jefferson City,MO,Missouri,40191,192.2,29051,Cole,America/Chicago
